start_date,end_date,precip,region_id
2014-01-01T00:00:00.000Z,2014-01-01T00:00:00.000Z,1.39239327,93
2014-01-02T00:00:00.000Z,2014-01-02T00:00:00.000Z,0.315379653,93
2014-01-03T00:00:00.000Z,2014-01-03T00:00:00.000Z,2.347846253,93
2014-01-04T00:00:00.000Z,2014-01-04T00:00:00.000Z,21.46635734,93
2014-01-05T00:00:00.000Z,2014-01-05T00:00:00.000Z,32.82365115,93
2014-01-06T00:00:00.000Z,2014-01-06T00:00:00.000Z,7.222263051,93
2014-01-07T00:00:00.000Z,2014-01-07T00:00:00.000Z,0.450134297,93
2014-01-08T00:00:00.000Z,2014-01-08T00:00:00.000Z,0.201829888,93
2014-01-09T00:00:00.000Z,2014-01-09T00:00:00.000Z,6.42476318,93
2014-01-10T00:00:00.000Z,2014-01-10T00:00:00.000Z,3.585208376,93
2014-01-11T00:00:00.000Z,2014-01-11T00:00:00.000Z,0.581635919,93
2014-01-12T00:00:00.000Z,2014-01-12T00:00:00.000Z,0.429738138,93
2014-01-13T00:00:00.000Z,2014-01-13T00:00:00.000Z,0.070975883,93
2014-01-14T00:00:00.000Z,2014-01-14T00:00:00.000Z,0.421668667,93
2014-01-15T00:00:00.000Z,2014-01-15T00:00:00.000Z,0.032050734,93
2014-01-16T00:00:00.000Z,2014-01-16T00:00:00.000Z,0.040001081,93
2014-01-17T00:00:00.000Z,2014-01-17T00:00:00.000Z,0.202534075,93
2014-01-18T00:00:00.000Z,2014-01-18T00:00:00.000Z,0.14376633,93
2014-01-19T00:00:00.000Z,2014-01-19T00:00:00.000Z,0.067130804,93
2014-01-20T00:00:00.000Z,2014-01-20T00:00:00.000Z,0.023181839,93
2014-01-21T00:00:00.000Z,2014-01-21T00:00:00.000Z,0.057625976,93
2014-01-22T00:00:00.000Z,2014-01-22T00:00:00.000Z,0.441372826,93
2014-01-23T00:00:00.000Z,2014-01-23T00:00:00.000Z,0.003937982,93
2014-01-24T00:00:00.000Z,2014-01-24T00:00:00.000Z,0.019784225,93
2014-01-25T00:00:00.000Z,2014-01-25T00:00:00.000Z,0.01410942,93
2014-01-26T00:00:00.000Z,2014-01-26T00:00:00.000Z,0.001920554,93
2014-01-27T00:00:00.000Z,2014-01-27T00:00:00.000Z,0.003036259,93
